"%s was added to your shopping cart.","Товар '%s' успешно добавлен в вашу корзину."
"Continue to Review Your Order","Перейти к просмотру вашего заказа"
"Continue to Shipping Information","Перейти к информации о доставке"
"Coupon code ""%s"" is not valid.","Неверный код сертификата ""%s""."
"Coupon code ""%s"" was applied successfully.","Код сертификата ""%s"" успешно применён."
"Coupon code was canceled successfully.","Код сертификата отменён."
"Create Billing Address","Создать адрес оплаты"
"Create Shipping Address","Создать адрес доставки"
"Data saving problem","Проблема сохранения данных"
"Default Billing","Оплата по умолчанию"
"Default Shipping","Способ доставки по умолчанию"
"Delete Condition","Удалить условие"
"Details","Подробности"
"Disable Onepage Checkout","Запретить моментальный заказ"
"Discount Codes","Коды скидок"
"Display Cart Summary","Отображение содержимого корзины"
"Display Shopping Cart Sidebar","Отображение блока корзины"
"Display item quantities","Показать количество для товара"
"Display number of items in cart","Показать количество товаров в корзине"
"Easy access to your order history and status","Быстрый доступ к вашей истории и состоянию заказов"
"Edit Address","Изменить адрес"
"Edit Billing Address","Изменить адрес оплаты"
"Edit Items","Изменить товары"
"Edit Shipping Address","Изменить адрес доставки"
"Edit Terms and Conditions","Редактировать соглашение о заказе"
"Edit Your Cart","Редактировать вашу корзину"
"Enable Terms and Conditions","Использовать соглашение о заказе"
"Enter a New Address","Введите новый адрес"
"Enter your coupon code if you have one.","Если у вас есть код купона введите его для получения скидки."
"Enter your destination to get a shipping estimate.","Укажите ваше местоположение для оценки стоимости доставки"
"Error while deleting this condition. Please try again later.","Ошибка при удалении этого условия. Попробуйте ещё раз попозже."
"Error while saving this condition. Please try again later.","Ошибка при сохранении этого условия. Попробуйте ещё раз попозже."
"Estimate Shipping and Tax","Примерная доставка с учетом всех налогов"
"Fast and easy check out","Быстрое и простое оформление заказа"
"Fax","Факс"
"Forgot an Item?","Забыли товар?"
"Get a Quote","Получить итоговую цену"
"Grouped product image","Иллюстрация группы товаров"
"HTML","HTML"
"Invalid data","Неверные данные"
"Invalid email address ""%s""","Неверный адрес эл. почты ""%s"""
"Invalid shipping method.","Неверный метод доставки."
"Load customer quote error","Ошибка во время загрузки итоговой информации о заказе"
"Loading next step...","Загрузка следующего шага"
"Manage Checkout Terms and Conditions","Управление соглашением о заказе"
"Maximum display Recently added item(s)","Полное отображение последних товаров в корзине"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальное кол-во товара, разрешённое к доставке по нескольким адресам: %s"
"My Cart","Моя корзина"
"My Cart (%s item)","Моя корзина (%s шт.)"
"My Cart (%s items)","Моя корзина (%s шт.)"
"My Cart Link","Ссылка на мою корзину"
"New Address","Новый адрес"
"New Condition","New Condition"
"Order Review","Обзор заказа"
"Order Success","Заказ успешно создан"
"Other items in your order","Другие товары заказа"
"Payment Failed Email Reciever","Получатель сообщения о неудавшемся платеже"
"Payment Failed Email Sender","Отправитель сообщения о неудавшемся платеже"
"Payment Failed Emails","Получатели сообщения о неудавшемся платеже"
"Payment Failed Template","Шаблон сообщения о неудавшемся платеже"
"Payment method is not defined","Способ оплаты не определен"
"Place Order","Разместить заказ"
"Please <a href=""%s"">continue shopping</a>.","Пожалуйста, <a href=""%s"">продолжайте покупки</a>."
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please agree to all Terms and Conditions before placing the orders.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Выберите регион"
"Please select shipping address for applicable items","Выберите адрес доставки для указанных товаров"
"Please select shipping methods for all addresses","Пожалуйста, выберите способ доставки для всех адресов"
"Proceed to Checkout","Приступить к оформлению заказа"
"Product does not exist","Товар не существует"
"Quote Lifetime (days)","Время жизни квоты (дней)"
"Recently added item(s)","Недавно добавленные товары"
"Register","Регистрация"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учетной записи"
"Register with us for future convenience:","Зарегистрируйтесь для  удобства в будущем:"
"Remove Item","Удалить товар"
"Remove item","Удалить товар"
"Review Order - %s","Обзор заказа - %s"
"Save Condition","Условия сохранения"
"Select Address","Выберите адрес"
"Select Addresses","Выберите адреса"
"Select Shipping Method","Выберите способ доставки"
"Select State/Province...","Выберите регион/район ..."
"Select a billing address from your address book or enter a new address.","Выберите адрес оплаты из адресной книги или введите новый."
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из адресной книги или введите новый ."
"Send Payment Failed Email Copy Method","Способ отправки копии сообщения о неудавшемся платеже для доп. получателя"
"Send Payment Failed Email Copy To","Доп. получатель сообщения о неудавшемся платеже"
"Send to","Отправить"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Ship to different address","Доставить по другим адресам"
"Ship to this address","Доставить на этот адрес"
"Shipping method has not been selected yet","Способ доставки еще не был выбран"
"Shipping selection is not applicable","Выбор доставки не подходит"
"Shipping to","Доставка до"
"Shopping Cart Sidebar","Инф. блок корзины"
"Shopping Cart is Empty","Корзина пуста"
"Show Content as","Показать содержание как"
"Some of the products you requested are not available in the desired quantity","Некоторые продукты, которые вы запросили, не имеются в нужном количестве"
"Some of the products you requested are unavailable","Некоторые запрашиваемые продукты недоступны"
"Sorry, Onepage Checkout is disabled.","Извините, моментальный заказ отключён."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Извините, заказ без регистрации невозможен."
"Street Address","Строка адреса"
"Street Address ","Улица "
"Terms and Conditions","Соглашение о заказе"
"Terms and Conditions Information","Информация о ""Соглашении о заказе"""
"Terms and conditions","Соглашение о заказе"
"Thank you for your purchase!","Спасибо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","В вашей корзине <a href=""%s""><strong>%s  товаров</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","В вашей корзине <a href=""%s""><strong>1 товар</strong></a>."
"There is already a customer registered using this email address","Уже существует пользователь зарегистрированный на данный email."
"There was an error processing your order. Please contact us or try again later.","В ходе обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"This condition no longer exists","Это условие больше не существует"
"Total for this address","Итого для этого адреса"
"Unit Price","Цена за единицу"
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Update Shopping Cart","Обновить корзину"
"Update Total","Обновление итого"
"Use Billing Address","Использовать платежный адрес"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы обрабатываем ваш заказ. В ближайшее время вы получите email письмо с подробной информацией о заказе. После отправки заказа вы получите еще одно письмо с ссылкой для отслеживания пути посылки."
"You have no items in your shopping cart.","У вас нет товаров в корзине"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо с подтверждением вашего заказа на ваш email и ссылку для отслеживания отправленной посылки"
"Your Checkout Progress","Стадия оформления заказа"
"Your order # is: %s","Ваш заказ # %s"
"Your order # is: <a href=""%s"">%s</a>","Ваш заказ: <a href=""%s"">%s</a>"
"Your order has been received","Ваш заказ был получен"
"Your order number is ","Номер Вашего заказа: "
"osCommerce Orders","Заказы osCommerce"
"Shopping Cart","Корзина"
